city_key,customer_city,customer_state,macro_region,lon,lat,n_orders,mean_actual_delivery_days
barra de sao miguel|AL,barra de sao miguel,AL,Northeast,-35.89596559633788,-9.840044731773547,2,23.813269675925923
barra do bugres|MT,barra do bugres,MT,Central-West,-57.18113296113553,-15.068481605552348,4,19.465182291666668
barra do choca|BA,barra do choca,BA,Northeast,-40.576197125782,-14.865142061005589,3,11.869675925925925
barra do corda|MA,barra do corda,MA,Northeast,-45.247295022007705,-5.505053378572043,6,17.32749035493827
barra do garcas|MT,barra do garcas,MT,Central-West,-52.266156588214294,-15.88656862472217,22,13.761281565656565
barra do jacare|PR,barra do jacare,PR,South,-50.179975234386575,-23.11527383783278,1,6.962199074074074
barra do mendes|BA,barra do mendes,BA,Northeast,-42.058908241064614,-11.808020882197264,3,23.994074074074074
barra do pirai|RJ,barra do pirai,RJ,Southeast,-43.82127029512845,-22.472263815550335,48,15.451499083719137
barra do ribeiro|RS,barra do ribeiro,RS,South,-51.30579328601676,-30.29659562013943,5,12.69025
barra do rio azul|RS,barra do rio azul,RS,South,-52.41329960243917,-27.409902266121655,1,23.399456018518517
barra do tarrachil|BA,barra do tarrachil,BA,Northeast,-38.525978987269255,-13.00910117780522,3,18.37070987654321
barra do turvo|SP,barra do turvo,SP,Southeast,-48.505469907533865,-24.758293660454623,2,23.315578703703704
barra dos coqueiros|SE,barra dos coqueiros,SE,Northeast,-37.03123215927341,-10.90850407881222,3,32.60331018518519
barra longa|MG,barra longa,MG,Southeast,-43.03895552455677,-20.283164999999997,1,11.12630787037037
barra mansa|RJ,barra mansa,RJ,Southeast,-44.17532044976627,-22.540072452709943,119,15.543638927793339
barra velha|SC,barra velha,SC,South,-48.68879944077063,-26.643531460353408,15,16.742118055555554
barracao|PR,barracao,PR,South,-53.634501,-26.253236897340212,1,12.247025462962963
barracao|RS,barracao,RS,South,-51.45821568482517,-27.675943377510784,2,19.152760416666666
barras|PI,barras,PI,Northeast,-42.29472556186173,-4.244885402779519,3,28.655003858024692
barra|BA,barra,BA,Northeast,-43.14362039890573,-11.09111741097317,2,25.50126157407407
barreiras|BA,barreiras,BA,Northeast,-44.99568501504704,-12.146974026798045,51,19.155233070079884
barreira|CE,barreira,CE,Northeast,-38.641774242381935,-4.292686814482221,1,5.857754629629629
barreirinhas|MA,barreirinhas,MA,Northeast,-42.82723917485542,-2.751412099456141,4,16.181958912037036
barreiros|PE,barreiros,PE,Northeast,-35.195613207674775,-8.814198027433896,5,14.911375
barretos|SP,barretos,SP,Southeast,-48.57069693228112,-20.557402554582165,69,10.616799181427805
barrinha|SP,barrinha,SP,Southeast,-48.15669999462057,-21.191092394351536,18,17.891538708847737
barro alto|BA,barro alto,BA,Northeast,-41.907362683901894,-11.761521102283517,2,14.547939814814814
barro alto|GO,barro alto,GO,Central-West,-48.91874232500435,-14.969667728699012,1,19.198194444444443
barro preto|BA,barro preto,BA,Northeast,-39.47313017058467,-14.809047196573925,1,12.202962962962962
barrocas|BA,barrocas,BA,Northeast,-39.07714550718776,-11.531270174072343,1,12.414918981481481
barrolandia|TO,barrolandia,TO,North,-48.72604155349957,-9.83521114808075,2,22.007337962962964
barros cassal|RS,barros cassal,RS,South,-52.585410975726234,-29.092039335283832,3,16.092465277777777
barroso|MG,barroso,MG,Southeast,-43.974192836964185,-21.19029913483173,11,11.64698021885522
barro|CE,barro,CE,Northeast,-38.77919940643426,-7.1752632410541715,4,23.27611400462963
barueri|SP,barueri,SP,Southeast,-46.87045613339008,-23.499373461975644,414,7.6396890096618355
bastos|SP,bastos,SP,Southeast,-50.73202996925728,-21.921298982885077,17,9.21534586056645
bataguassu|MS,bataguassu,MS,Central-West,-52.42308537704634,-21.715165040665905,5,13.6264375
bataipora|MS,bataipora,MS,Central-West,-53.269180659392845,-22.2975503763348,1,17.845972222222223
batalha|AL,batalha,AL,Northeast,-37.12697488383944,-9.673820737744125,3,15.702515432098766
batatais|SP,batatais,SP,Southeast,-47.585032949229955,-20.891319123261383,26,8.763773148148148
bataypora|MS,bataypora,MS,Central-West,-53.269180659392845,-22.2975503763348,2,11.795133101851851
baturite|CE,baturite,CE,Northeast,-38.87916764233671,-4.3319004804445855,3,15.453028549382717
bauru|SP,bauru,SP,Southeast,-49.06153689090554,-22.326380763038312,261,9.24917278629204
bayeux|PB,bayeux,PB,Northeast,-34.9189887307164,-7.1251791437021925,7,18.633910383597883
bebedouro|SP,bebedouro,SP,Southeast,-48.486737166928464,-20.943489874711272,51,10.86259327342048
beberibe|CE,beberibe,CE,Northeast,-38.128122333804335,-4.184081023127644,3,27.954996141975307
bela cruz|CE,bela cruz,CE,Northeast,-40.168629001314464,-3.05500592250068,4,18.25295138888889
bela vista de goias|GO,bela vista de goias,GO,Central-West,-48.95308817677393,-16.97212933946786,7,13.890658068783068
bela vista de minas|MG,bela vista de minas,MG,Southeast,-43.09105418617369,-19.828623856306823,1,7.44712962962963
